segment_id,segment_name,criteria,size,average_engagement_score,preferred_device
1,Metalheads,18-24 Pop lovers,192,4.74,Desktop
2,Pop Fans,18-24 Hip-Hop lovers,245,1.64,Tablet
3,Casual Listeners,18-24 Rock lovers,323,2.17,Desktop
4,EDM Fans,18-24 EDM lovers,110,4.86,Mobile
5,Jazz Enthusiasts,18-24 Classical lovers,312,1.7,Desktop
6,Metalheads,18-24 Jazz lovers,238,3.42,Tablet
7,Young Hip-Hop Enthusiasts,18-24 Country lovers,255,4.62,Tablet
8,Classical Aficionados,18-24 Metal lovers,170,2.01,Desktop
9,Metalheads,25-34 Pop lovers,191,0.28,Tablet
10,EDM Fans,25-34 Hip-Hop lovers,425,4.46,Desktop
11,Young Hip-Hop Enthusiasts,25-34 Rock lovers,119,3.75,Desktop
12,Casual Listeners,25-34 EDM lovers,490,1.04,Desktop
13,Casual Listeners,25-34 Classical lovers,269,0.18,Mobile
14,Pop Fans,25-34 Jazz lovers,279,1.1,Tablet
15,Young Hip-Hop Enthusiasts,25-34 Country lovers,296,2.11,Desktop
16,Heavy Listeners,25-34 Metal lovers,350,4.73,Tablet
17,Rock Lovers,35-44 Pop lovers,348,3.7,Tablet
18,Metalheads,35-44 Hip-Hop lovers,184,1.96,Mobile
19,EDM Fans,35-44 Rock lovers,387,1.6,Tablet
20,Heavy Listeners,35-44 EDM lovers,137,4.45,Desktop
